Region;Site;Reference;Indicator;Latitude (°N);Longitude (°E);RSL (m);RSL +1s;RSL -1s;Age (CE);Age +2s;Age -2s
Connecticut, USA;East River Marsh;Nydick et al. (1995);foramininifera and plants;41,280;-72,640;-1,40;0,32;0,32;998;214;214
Denmark;Ho Bugt;"Gehrels et al. (2006b); Szkornik et al. (2008)";plants;55,583;-8,267;-0,61;0,30;0,30;1005;143;106
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,40;0,05;0,05;1006;27;27
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-1,28;0,16;0,16;1007;44;51
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,77;0,10;0,10;1009;31;31
New Jersey, USA;Leeds Point;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,496;-74,418;-1,78;0,11;0,11;1010;35;35
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,53;0,07;0,07;1011;72;72
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-1,30;0,03;0,03;1012;179;179
Iceland;Vioarholmi;Gehrels et al. (2006a);foraminifera;64,763;-22,434;-0,72;0,20;0,20;1012;81;100
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-1,78;0,06;0,06;1021;104;169
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-1,83;0,06;0,06;1021;137;137
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,75;0,08;0,08;1024;35;35
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-1,30;0,03;0,03;1025;168;168
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,71;0,19;0,19;1027;310;310
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,39;0,05;0,05;1029;32;32
New Jersey, USA;Leeds Point;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,496;-74,418;-1,78;0,10;0,10;1029;46;46
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,20;0,36;0,36;1030;95;95
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,70;0,11;0,11;1036;37;37
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,36;0,05;0,05;1040;35;35
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-1,23;0,03;0,03;1044;153;153
Iceland;Vioarholmi;Gehrels et al. (2006a);foraminifera;64,763;-22,434;-0,70;0,20;0,20;1045;80;121
Santa Catarina, Brazil;Cape of Santa Marta;Angulo et al. (1999);vermetid;-28,605;-48,815;0,25;0,50;0,50;1047;145;145
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-1,19;0,16;0,16;1049;63;58
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,51;0,07;0,07;1051;76;76
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-1,73;0,06;0,06;1054;100;170
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,34;0,05;0,05;1058;38;38
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,46;0,22;0,22;1061;305;305
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,68;0,11;0,11;1065;37;37
Scotland, UK;Loch Laxford;Barlow et al. (2014);diatoms;58,400;-5,070;-0,30;0,35;0,35;1067;181;181
Louisiana, USA;Delahoussaye Canal;Gonzalez and Tornqvist (2009);peat;29,853;-91,710;-0,67;0,04;0,04;1067;70;70
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-1,11;0,16;0,16;1070;67;62
Spain;Urdaibai;Leorri et al. (2012);foraminifera;43,420;-2,950;0,00;0,75;0,75;1070;80;80
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,32;0,06;0,06;1075;40;40
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-1,26;0,03;0,03;1077;125;125
Iceland;Vioarholmi;Gehrels et al. (2006a);foraminifera;64,763;-22,434;-0,68;0,20;0,20;1077;70;138
New Jersey, USA;Sea Island City;"Cinquemani et al. (1982); Compiled in Horton et al. (2013)";plants;39,200;-74,700;-1,31;0,40;0,40;1082;309;309
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,40;0,20;0,20;1085;305;305
Scotland, UK;Wick;"Dawson and Smith (1997);  Compiled in Shennan and Horton (2002)";Plants;58,450;-3,090;0,95;0,11;0,11;1087;100;100
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,49;0,07;0,07;1089;74;74
Nova Scotia, Canada;Chezzetcook;Gehrels et al. (2005);foraminifera;44,739;-63,260;-1,71;0,06;0,06;1089;121;182
Denmark;Ho Bugt;Szkornik et al. (2008);diatoms;55,583;-8,267;-0,52;0,23;0,23;1090;69;76
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-1,06;0,16;0,16;1092;67;65
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,29;0,05;0,05;1094;40;40
Scotland, UK;Kyle of Tongue;Barlow et al. (2014);diatoms;58,400;-4,450;0,04;0,35;0,35;1095;75;75
Louisiana, USA;Lydia;Gonzalez and Tornqvist (2009);peat;29,878;-91,783;-0,75;0,04;0,04;1096;60;60
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-1,22;0,03;0,03;1097;107;107
Brittany, France;Traon;Stephan et al. (2015);foraminifera;48,310;-4,260;-0,48;0,20;0,20;1100;116;102
Seychelles;Barbarons;Woodroffe et al. (2015);Mangrove Peat;-4,695;55,459;-0,07;0,30;0,30;1102;77;77
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,60;0,13;0,13;1108;46;46
Florida, USA;Nassau;Kemp et al. (2014);foramininifera and plants;30,587;-81,666;-0,48;0,07;0,07;1108;72;72
Iceland;Vioarholmi;Gehrels et al. (2006a);foraminifera;64,763;-22,434;-0,66;0,20;0,20;1110;58;144
North Carolina, USA;Tump Point;Kemp et al. (2011);foraminifera;34,971;-76,380;-1,23;0,03;0,03;1110;96;96
Connecticut, USA;East River Marsh;Kemp et al. (2015);foraminifera;41,276;-72,652;-1,05;0,16;0,16;1114;67;68
South Africa;Kariega Estuary;Strachan et al. (2014);foraminifera;-33,680;26,660;-0,68;0,21;0,21;1116;310;310
New Jersey, USA;Cape May Courthouse;Kemp et al. (2013);foraminifera and stable carbon isotopes;39,086;-74,812;-1,60;0,12;0,12;1119;49;49
North Carolina, USA;Sand Point;Kemp et al. (2011);foraminifera;35,885;-75,681;-1,26;0,06;0,06;1119;41;41
